63.0461 | symbol | symbol;
70.1209 | symbol | symbol;
69.0302 | symbol | symbol;
71.4817 | symbol | symbol;
69.4177 | symbol | symbol;
71.2106 | symbol | symbol;
70.4557 | symbol | symbol;
70.9068 | symbol | symbol;
74.3745 | symbol | symbol;
74.4128 | symbol | symbol;
75.1678 | symbol | symbol;
76.4137 | symbol | symbol;
75.6728 | symbol | symbol;
75.4916 | symbol | symbol;
74.8323 | symbol | symbol;
75.23 | symbol | symbol;
72.3305 | symbol | symbol;
72.164 | symbol | symbol;
71.4782 | symbol | symbol;
71.8984 | symbol | symbol;
71.1357 | symbol | symbol;
70.3409 | symbol | symbol;
69.366 | symbol | symbol;
68.1145 | symbol | symbol;
68.8111 | symbol | symbol;
69.6426 | symbol | symbol;
72.9983 | symbol | symbol;
73.3142 | symbol | symbol;
71.9126 | symbol | symbol;
72.1087 | symbol | symbol;
71.6864 | symbol | symbol;
72.47 | symbol | symbol;
70.4122 | symbol | symbol;
69.7488 | symbol | symbol;
67.7002 | symbol | symbol;
68.4142 | symbol | symbol;
69.0821 | symbol | symbol;
66.4913 | symbol | symbol;
67.7837 | symbol | symbol;
68.4348 | symbol | symbol;
67.8087 | symbol | symbol;
69.2481 | symbol | symbol;
66.142 | symbol | symbol;
68.5964 | symbol | symbol;
66.1385 | symbol | symbol;
70.3261 | symbol | symbol;
70.9877 | symbol | symbol;
72.219 | symbol | symbol;
71.9873 | symbol | symbol;
72.811 | symbol | symbol;
71.9905 | symbol | symbol;
71.6471 | symbol | symbol;
70.9918 | symbol | symbol;
65.9719 | symbol | symbol;
65.9605 | symbol | symbol;
64.6265 | symbol | symbol;
65.8852 | symbol | symbol;
64.1964 | symbol | symbol;
65.6495 | symbol | symbol;
63.3165 | symbol | symbol;
64.237 | symbol | symbol;
63.0712 | symbol | symbol;
61.9418 | symbol | symbol;
65.7172 | symbol | symbol;
69.2178 | symbol | symbol;
70.1249 | symbol | symbol;
70.4152 | symbol | symbol;
70.4931 | symbol | symbol;
69.5984 | symbol | symbol;
70.2331 | symbol | symbol;
71.6643 | symbol | symbol;
70.8557 | symbol | symbol;
69.9044 | symbol | symbol;
67.5542 | symbol | symbol;
69.5797 | symbol | symbol;
70.1482 | symbol | symbol;
70.8469 | symbol | symbol;
69.2443 | symbol | symbol;
68.3108 | symbol | symbol;
66.3066 | symbol | symbol;
66.4005 | symbol | symbol;
64.1335 | symbol | symbol;
60.3945 | symbol | symbol;
60.1712 | symbol | symbol;
64.4082 | symbol | symbol;
64.6272 | symbol | symbol;
62.2728 | symbol | symbol;
68.6117 | symbol | symbol;
67.0766 | symbol | symbol;
69.0505 | symbol | symbol;
70.5433 | symbol | symbol;
70.1377 | symbol | symbol;
69.1265 | symbol | symbol;
70.1451 | symbol | symbol;
71.3293 | symbol | symbol;
70.5767 | symbol | symbol;
71.6487 | symbol | symbol;
70.6924 | symbol | symbol;
66.5423 | symbol | symbol;
68.1471 | symbol | symbol;
69.4044 | symbol | symbol;
70.1223 | symbol | symbol;
68.4448 | symbol | symbol;
68.2121 | symbol | symbol;
66.9141 | symbol | symbol;
65.7413 | symbol | symbol;
66.9497 | symbol | symbol;
64.8234 | symbol | symbol;
65.2048 | symbol | symbol;
65.3388 | symbol | symbol;
64.6834 | symbol | symbol;
63.8123 | symbol | symbol;
64.1371 | symbol | symbol;
62.4374 | symbol | symbol;
61.963 | symbol | symbol;
62.0202 | symbol | symbol;
64.71 | symbol | symbol;
66.0104 | symbol | symbol;
65.7191 | symbol | symbol;
64.4716 | symbol | symbol;
64.6689 | symbol | symbol;
60.2684 | symbol | symbol;
58.771 | symbol | symbol;
21.4799 | symbol | symbol;
0 | symbol | symbol;
58.9744 | symbol | symbol;
55.7874 | symbol | symbol;
8.77373 | symbol | symbol;
0 | symbol | symbol;
61.8525 | symbol | symbol;
55.0806 | symbol | symbol;
60.0654 | symbol | symbol;
58.8077 | symbol | symbol;
17.9222 | symbol | symbol;
0 | symbol | symbol;
65.4151 | symbol | symbol;
64.464 | symbol | symbol;
61.8551 | symbol | symbol;
60.9654 | symbol | symbol;
59.5631 | symbol | symbol;
15.576 | symbol | symbol;
0 | symbol | symbol;
62.1134 | symbol | symbol;
61.3666 | symbol | symbol;
61.8878 | symbol | symbol;
62.0365 | symbol | symbol;
62.3657 | symbol | symbol;
62.2324 | symbol | symbol;
60.2937 | symbol | symbol;
56.8329 | symbol | symbol;
9.59389 | symbol | symbol;
0 | symbol | symbol;
67.8055 | symbol | symbol;
71.5234 | symbol | symbol;
69.687 | symbol | symbol;
70.7265 | symbol | symbol;
70.1627 | symbol | symbol;
69.9675 | symbol | symbol;
69.9457 | symbol | symbol;
68.8546 | symbol | symbol;
67.4287 | symbol | symbol;
67.9221 | symbol | symbol;
68.078 | symbol | symbol;
69.5499 | symbol | symbol;
72.557 | symbol | symbol;
73.9364 | symbol | symbol;
74.628 | symbol | symbol;
75.3937 | symbol | symbol;
74.8671 | symbol | symbol;
74.7698 | symbol | symbol;
73.4684 | symbol | symbol;
73.1284 | symbol | symbol;
72.3795 | symbol | symbol;
72.8125 | symbol | symbol;
73.7509 | symbol | symbol;
74.5467 | symbol | symbol;
75.3868 | symbol | symbol;
75.8164 | symbol | symbol;
75.09 | symbol | symbol;
75.0766 | symbol | symbol;
74.1972 | symbol | symbol;
72.228 | symbol | symbol;
71.3415 | symbol | symbol;
70.757 | symbol | symbol;
71.0464 | symbol | symbol;
71.7103 | symbol | symbol;
72.054 | symbol | symbol;
71.9905 | symbol | symbol;
71.8947 | symbol | symbol;
70.3508 | symbol | symbol;
69.996 | symbol | symbol;
71.0077 | symbol | symbol;
70.9854 | symbol | symbol;
72.4929 | symbol | symbol;
72.2796 | symbol | symbol;
72.4028 | symbol | symbol;
71.8836 | symbol | symbol;
70.5574 | symbol | symbol;
70.0369 | symbol | symbol;
69.0942 | symbol | symbol;
69.3288 | symbol | symbol;
69.8817 | symbol | symbol;
70.599 | symbol | symbol;
69.8618 | symbol | symbol;
67.836 | symbol | symbol;
68.8795 | symbol | symbol;
68.2559 | symbol | symbol;
68.4971 | symbol | symbol;
69.2594 | symbol | symbol;
68.2317 | symbol | symbol;
64.6028 | symbol | symbol;
64.338 | symbol | symbol;
63.56 | symbol | symbol;
65.2867 | symbol | symbol;
59.5111 | symbol | symbol;
57.9332 | symbol | symbol;
56.5094 | symbol | symbol;
59.0246 | symbol | symbol;
59.5848 | symbol | symbol;
11.851 | symbol | symbol;
0 | symbol | symbol;
60.1469 | symbol | symbol;
57.0864 | symbol | symbol;
18.5143 | symbol | symbol;
66.1459 | symbol | symbol;
71.0872 | symbol | symbol;
71.355 | symbol | symbol;
70.2486 | symbol | symbol;
70.5921 | symbol | symbol;
71.9189 | symbol | symbol;
72.5948 | symbol | symbol;
71.7289 | symbol | symbol;
71.9023 | symbol | symbol;
71.0914 | symbol | symbol;
71.4792 | symbol | symbol;
70.3481 | symbol | symbol;
71.2892 | symbol | symbol;
71.7698 | symbol | symbol;
71.764 | symbol | symbol;
71.409 | symbol | symbol;
71.505 | symbol | symbol;
70.6836 | symbol | symbol;
71.6426 | symbol | symbol;
70.2265 | symbol | symbol;
70.4602 | symbol | symbol;
70.0632 | symbol | symbol;
69.1228 | symbol | symbol;
69.6605 | symbol | symbol;
69.4438 | symbol | symbol;
70.4321 | symbol | symbol;
70.1827 | symbol | symbol;
70.0967 | symbol | symbol;
70.4652 | symbol | symbol;
70.514 | symbol | symbol;
70.8151 | symbol | symbol;
70.1941 | symbol | symbol;
70.2841 | symbol | symbol;
69.9464 | symbol | symbol;
69.0967 | symbol | symbol;
69.0863 | symbol | symbol;
69.3638 | symbol | symbol;
69.0555 | symbol | symbol;
67.501 | symbol | symbol;
64.3945 | symbol | symbol;
60.993 | symbol | symbol;
58.5116 | symbol | symbol;
8.43478 | symbol | symbol;
0 | symbol | symbol;
65.7677 | symbol | symbol;
63.6989 | symbol | symbol;
62.3548 | symbol | symbol;
62.9223 | symbol | symbol;
65.7903 | symbol | symbol;
67.6684 | symbol | symbol;
65.358 | symbol | symbol;
65.7488 | symbol | symbol;
66.1805 | symbol | symbol;
70.6237 | symbol | symbol;
67.1872 | symbol | symbol;
68.556 | symbol | symbol;
68.4217 | symbol | symbol;
66.5268 | symbol | symbol;
65.7943 | symbol | symbol;
66.4 | symbol | symbol;
65.5003 | symbol | symbol;
67.591 | symbol | symbol;
65.847 | symbol | symbol;
66.3604 | symbol | symbol;
66.1021 | symbol | symbol;
66.5581 | symbol | symbol;
66.2869 | symbol | symbol;
67.0923 | symbol | symbol;
68.1237 | symbol | symbol;
67.6211 | symbol | symbol;
66.5487 | symbol | symbol;
66.9074 | symbol | symbol;
67.3525 | symbol | symbol;
67.6262 | symbol | symbol;
65.7312 | symbol | symbol;
66.7429 | symbol | symbol;
64.3768 | symbol | symbol;
63.4031 | symbol | symbol;
60.5373 | symbol | symbol;
56.793 | symbol | symbol;
15.8423 | symbol | symbol;
0 | symbol | symbol;
62.2129 | symbol | symbol;
61.7193 | symbol | symbol;
60.9028 | symbol | symbol;
58.1476 | symbol | symbol;
18.7113 | symbol | symbol;
0 | symbol | symbol;
72.8991 | symbol | symbol;
74.5693 | symbol | symbol;
76.1083 | symbol | symbol;
76.239 | symbol | symbol;
75.8603 | symbol | symbol;
76.3539 | symbol | symbol;
77.3342 | symbol | symbol;
77.4105 | symbol | symbol;
78.1157 | symbol | symbol;
77.4932 | symbol | symbol;
77.5083 | symbol | symbol;
77.1567 | symbol | symbol;
76.951 | symbol | symbol;
76.3184 | symbol | symbol;
76.1115 | symbol | symbol;
76.078 | symbol | symbol;
76.5641 | symbol | symbol;
76.5648 | symbol | symbol;
76.5277 | symbol | symbol;
76.161 | symbol | symbol;
75.7843 | symbol | symbol;
74.8207 | symbol | symbol;
74.0846 | symbol | symbol;
72.9579 | symbol | symbol;
71.2931 | symbol | symbol;
70.7587 | symbol | symbol;
71.2082 | symbol | symbol;
71.0054 | symbol | symbol;
70.219 | symbol | symbol;
70.5381 | symbol | symbol;
69.0172 | symbol | symbol;
69.2242 | symbol | symbol;
65.3481 | symbol | symbol;
65.546 | symbol | symbol;
63.5012 | symbol | symbol;
62.6614 | symbol | symbol;
59.8986 | symbol | symbol;
57.7426 | symbol | symbol;
60.5227 | symbol | symbol;
64.217 | symbol | symbol;
64.8495 | symbol | symbol;
62.23 | symbol | symbol;
61.5583 | symbol | symbol;
58.2774 | symbol | symbol;
54.9331 | symbol | symbol;
6.77383 | symbol | symbol;
0 | symbol | symbol;
53.0761 | symbol | symbol;
45.9386 | symbol | symbol;
3.75343 | symbol | symbol;
0 | symbol | symbol;
56.927 | symbol | symbol;
47.6557 | symbol | symbol;
8.53084 | symbol | symbol;
0 | symbol | symbol;
71.1059 | symbol | symbol;
60.4575 | symbol | symbol;
50.9912 | symbol | symbol;
8.04131 | symbol | symbol;
0 | symbol | symbol;
36.4803 | symbol | symbol;
0 | symbol | symbol;
47.2059 | symbol | symbol;
40.217 | symbol | symbol;
0 | symbol | symbol;
48.3041 | symbol | symbol;
47.8195 | symbol | symbol;
6.27487 | symbol | symbol;
0 | symbol | symbol;
49.8377 | symbol | symbol;
8.26293 | symbol | symbol;
0 | symbol | symbol;
51.0336 | symbol | symbol;
45.8853 | symbol | symbol;
0.615881 | symbol | symbol;
0 | symbol | symbol;
49.6172 | symbol | symbol;
45.0644 | symbol | symbol;
2.82971 | symbol | symbol;
0 | symbol | symbol;
49.0094 | symbol | symbol;
42.7766 | symbol | symbol;
0 | symbol | symbol;
68.4237 | symbol | symbol;
69.2042 | symbol | symbol;
69.5974 | symbol | symbol;
69.306 | symbol | symbol;
72.5584 | symbol | symbol;
79.1162 | symbol | symbol;
109.906 | symbol | symbol;
111.199 | symbol | symbol;
107.297 | symbol | symbol;
102.262 | symbol | symbol;
95.6209 | symbol | symbol;
95.805 | symbol | symbol;
95.9684 | symbol | symbol;
96.2265 | symbol | symbol;
93.8437 | symbol | symbol;
93.4128 | symbol | symbol;
95.1123 | symbol | symbol;
94.3361 | symbol | symbol;
95.65 | symbol | symbol;
92.0931 | symbol | symbol;
95.8344 | symbol | symbol;
89.4306 | symbol | symbol;
87.1729 | symbol | symbol;
81.8764 | symbol | symbol;
72.7932 | symbol | symbol;
64.5701 | symbol | symbol;
74.8679 | symbol | symbol;
97.5655 | symbol | symbol;
93.661 | symbol | symbol;
91.8753 | symbol | symbol;
95.9628 | symbol | symbol;
91.8535 | symbol | symbol;
99.3111 | symbol | symbol;
99.8308 | symbol | symbol;
96.7202 | symbol | symbol;
99.2633 | symbol | symbol;
91.9448 | symbol | symbol;
89.2777 | symbol | symbol;
88.8828 | symbol | symbol;
88.6674 | symbol | symbol;
87.3092 | symbol | symbol;
80.0803 | symbol | symbol;
74.8298 | symbol | symbol;
76.9862 | symbol | symbol;
88.5862 | symbol | symbol;
95.3138 | symbol | symbol;
95.0969 | symbol | symbol;
97.8817 | symbol | symbol;
96.8108 | symbol | symbol;
98.5071 | symbol | symbol;
92.0365 | symbol | symbol;
89.6861 | symbol | symbol;
84.8553 | symbol | symbol;
82.2865 | symbol | symbol;
79.1215 | symbol | symbol;
76.4943 | symbol | symbol;
71.663 | symbol | symbol;
67.1501 | symbol | symbol;
60.9073 | symbol | symbol;
54.8764 | symbol | symbol;
11.9501 | symbol | symbol;
0 | symbol | symbol;
61.0128 | symbol | symbol;
52.8508 | symbol | symbol;
11.912 | symbol | symbol;
0 | symbol | symbol;
74.9468 | symbol | symbol;
77.2148 | symbol | symbol;
72.8795 | symbol | symbol;
69.3033 | symbol | symbol;
68.129 | symbol | symbol;
64.9404 | symbol | symbol;
61.2975 | symbol | symbol;
60.2664 | symbol | symbol;
57.8972 | symbol | symbol;
16.2282 | symbol | symbol;
0 | symbol | symbol;
56.7619 | symbol | symbol;
57.9417 | symbol | symbol;
17.3379 | symbol | symbol;
0 | symbol | symbol;
48.6176 | symbol | symbol;
44.4087 | symbol | symbol;
3.02351 | symbol | symbol;
0 | symbol | symbol;
49.1384 | symbol | symbol;
44.7261 | symbol | symbol;
0 | symbol | symbol;
56.1314 | symbol | symbol;
47.3587 | symbol | symbol;
1.48818 | symbol | symbol;
0 | symbol | symbol;
47.0528 | symbol | symbol;
1.12106 | symbol | symbol;
0 | symbol | symbol;
42.6194 | symbol | symbol;
1.10183 | symbol | symbol;
0 | symbol | symbol;
62.1529 | symbol | symbol;
62.982 | symbol | symbol;
62.616 | symbol | symbol;
65.2737 | symbol | symbol;
67.6663 | symbol | symbol;
71.6532 | symbol | symbol;
85.0798 | symbol | symbol;
106.274 | symbol | symbol;
106.503 | symbol | symbol;
108.521 | symbol | symbol;
108.703 | symbol | symbol;
106.073 | symbol | symbol;
106.241 | symbol | symbol;
106.899 | symbol | symbol;
104.532 | symbol | symbol;
102.871 | symbol | symbol;
101.718 | symbol | symbol;
103.056 | symbol | symbol;
100.117 | symbol | symbol;
97.0025 | symbol | symbol;
99.6686 | symbol | symbol;
99.4152 | symbol | symbol;
105.76 | symbol | symbol;
106.218 | symbol | symbol;
105.151 | symbol | symbol;
102.332 | symbol | symbol;
101.991 | symbol | symbol;
102.17 | symbol | symbol;
99.8659 | symbol | symbol;
99.4549 | symbol | symbol;
95.6322 | symbol | symbol;
92.5179 | symbol | symbol;
85.6845 | symbol | symbol;
80.1215 | symbol | symbol;
72.9513 | symbol | symbol;
55.6384 | symbol | symbol;
47.7698 | symbol | symbol;
0.678685 | symbol | symbol;
0 | symbol | symbol;
72.767 | symbol | symbol;
82.065 | symbol | symbol;
81.0345 | symbol | symbol;
74.6917 | symbol | symbol;
74.5725 | symbol | symbol;
65.9092 | symbol | symbol;
55.2924 | symbol | symbol;
58.3799 | symbol | symbol;
43.8377 | symbol | symbol;
43.0668 | symbol | symbol;
0 | symbol | symbol;
90.1062 | symbol | symbol;
83.9965 | symbol | symbol;
81.6095 | symbol | symbol;
86.2163 | symbol | symbol;
84.9661 | symbol | symbol;
89.8042 | symbol | symbol;
86.6002 | symbol | symbol;
85.4434 | symbol | symbol;
76.8956 | symbol | symbol;
69.4051 | symbol | symbol;
75.6363 | symbol | symbol;
83.451 | symbol | symbol;
80.5797 | symbol | symbol;
76.7084 | symbol | symbol;
58.8871 | symbol | symbol;
51.2487 | symbol | symbol;
11.863 | symbol | symbol;
87.8591 | symbol | symbol;
82.7118 | symbol | symbol;
76.4679 | symbol | symbol;
74.2082 | symbol | symbol;
83.1318 | symbol | symbol;
86.0873 | symbol | symbol;
90.5107 | symbol | symbol;
92.7305 | symbol | symbol;
89.3229 | symbol | symbol;
76.0755 | symbol | symbol;
72.8976 | symbol | symbol;
73.5173 | symbol | symbol;
72.2615 | symbol | symbol;
80.338 | symbol | symbol;
77.7265 | symbol | symbol;
70.8551 | symbol | symbol;
61.9951 | symbol | symbol;
57.9954 | symbol | symbol;
55.703 | symbol | symbol;
12.1028 | symbol | symbol;
0 | symbol | symbol;
55.0213 | symbol | symbol;
51.1897 | symbol | symbol;
6.44778 | symbol | symbol;
0 | symbol | symbol;
50.0601 | symbol | symbol;
0.551995 | symbol | symbol;
0 | symbol | symbol;
45.2057 | symbol | symbol;
0 | symbol | symbol;
47.5927 | symbol | symbol;
3.53089 | symbol | symbol;
0 | symbol | symbol;
40.2023 | symbol | symbol;
0 | symbol | symbol;
45.8617 | symbol | symbol;
3.65645 | symbol | symbol;
0 | symbol | symbol;
54.2176 | symbol | symbol;
46.0472 | symbol | symbol;
6.45484 | symbol | symbol;
0 | symbol | symbol;
47.8471 | symbol | symbol;
5.95012 | symbol | symbol;
0 | symbol | symbol;
49.8232 | symbol | symbol;
44.5603 | symbol | symbol;
4.1702 | symbol | symbol;
0 | symbol | symbol;
51.429 | symbol | symbol;
44.4103 | symbol | symbol;
2.83821 | symbol | symbol;
0 | symbol | symbol;
46.4101 | symbol | symbol;
5.29023 | symbol | symbol;
0 | symbol | symbol;
46.0246 | symbol | symbol;
4.6885 | symbol | symbol;
0 | symbol | symbol;
52.9853 | symbol | symbol;
47.0746 | symbol | symbol;
3.95406 | symbol | symbol;
0 | symbol | symbol;
41.6674 | symbol | symbol;
1.57644 | symbol | symbol;
0 | symbol | symbol;
42.1256 | symbol | symbol;
0 | symbol | symbol;
38.6423 | symbol | symbol;
0 | symbol | symbol;
38.0795 | symbol | symbol;
0 | symbol | symbol;
36.5994 | symbol | symbol;
0 | symbol | symbol;
43.2872 | symbol | symbol;
0 | symbol | symbol;
39.3343 | symbol | symbol;
0 | symbol | symbol;
35.1643 | symbol | symbol;
0 | symbol | symbol;
41.9078 | symbol | symbol;
0 | symbol | symbol;
41.6539 | symbol | symbol;
0 | symbol | symbol;
42.2281 | symbol | symbol;
1.46478 | symbol | symbol;
0 | symbol | symbol;
40.9401 | symbol | symbol;
0.376211 | symbol | symbol;
0 | symbol | symbol;
43.709 | symbol | symbol;
0 | symbol | symbol;
56.7131 | symbol | symbol;
50.6305 | symbol | symbol;
9.18324 | symbol | symbol;
0 | symbol | symbol;
74.313 | symbol | symbol;
77.3458 | symbol | symbol;
73.2047 | symbol | symbol;
64.7407 | symbol | symbol;
54.2874 | symbol | symbol;
61.3004 | symbol | symbol;
57.6698 | symbol | symbol;
64.9763 | symbol | symbol;
70.4058 | symbol | symbol;
70.8057 | symbol | symbol;
71.5295 | symbol | symbol;
80.9258 | symbol | symbol;
81.8179 | symbol | symbol;
79.6771 | symbol | symbol;
81.6302 | symbol | symbol;
